KODEPT,PT,KEBIJAKAN_UNGGAH,KEBIJAKAN_VERIFIED,KEBIJAKAN_VALID,STANDAR_INSTITUSI_UNGGAH,STANDAR_INSTITUSI_VERIFIED,STANDAR_INSTITUSI_VALID,JML_STDLAIN_VALID,AMI_UNGGAH,AMI_VERIFIED,AMI_VALID,EVALUASI_LAIN_UNGGAH,EVALUASI_LAIN_VERIFIED,EVALUASI_LAIN_VALID,JML_EVAL_LAIN_VALID,PENGENDALIAN_UNGGAH,PENGENDALIAN_VERIFIED,PENGENDALIAN_VALID,PENINGKATAN_UNGGAH,PENINGKATAN_VERIFIED,PENINGKATAN_VALID,BOBOT VALID (%),BOBOT VERIFIKASI (%),BOBOT UNGGAH (%),Klaster
43071,STMIK Likmi,6,6,6,10,10,10,1,3,3,3,3,3,3,0,1,1,1,6,5,5,71%,71%,74%,Kuning
43251,STMIK Masa Depan,6,0,0,10,0,0,3,3,0,0,0,0,0,11,0,0,0,0,0,0,0%,0%,54%,Merah
43144,STMIK Pamitran,6,6,1,10,10,8,0,3,3,2,3,3,0,0,6,6,0,6,6,0,31%,89%,89%,Merah
43242,STMIK PGRI Tangerang,6,6,6,10,10,10,0,3,3,3,4,4,0,0,1,1,1,6,5,5,71%,71%,74%,Kuning
43109,STMIK Pranata Indonesia,6,6,6,3,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,26%,26%,26%,Merah
43291,STMIK WIT Cirebon,6,6,6,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29%,29%,29%,Merah
41010,Universitas 17 Agustus 1945 Cirebon,6,4,4,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,29%,29%,34%,Merah
41092,Universitas Al-Khairiyah,6,6,6,6,6,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,34%,37%,37%,Merah
41048,Universitas Bale Bandung,6,6,5,8,8,1,9,3,3,3,1,0,0,0,1,1,0,6,6,6,43%,69%,69%,Merah
41128,Universitas Bandung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,Merah
41119,Universitas Bani Saleh,6,6,6,6,6,6,0,3,3,1,4,4,2,0,3,3,0,6,6,0,37%,69%,69%,Merah
41109,Universitas Banten,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,46%,Merah
41114,Universitas Bestari,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6%,17%,17%,Merah
41132,Universitas Bhakti Asih Tangerang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,Merah
41065,Universitas Bina Bangsa,6,6,2,10,10,6,2,0,0,0,0,0,,0,0,0,0,0,0,0,23%,46%,46%,Merah
41127,Universitas Horizon Indonesia,6,0,0,10,0,0,0,3,0,0,1,0,0,0,9,0,0,6,0,0,0%,0%,97%,Merah
41112,Universitas Ichsan Satya,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,17%,Merah
41059,Universitas Islam Al-Ihya Kuningan,6,0,0,9,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11%,11%,49%,Merah
41133,Universitas Islam Dr Khez Muttaqien,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,Merah
41076,Universitas Kartamulia Purwakarta,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11%,11%,17%,Merah
41096,Universitas Kebangsaan Republik Indonesia,6,6,6,10,10,10,9,3,3,3,3,3,2,0,1,1,1,6,6,6,74%,74%,74%,Kuning
41117,Universitas La Tansa Mashiro,6,6,0,4,4,0,2,3,0,0,3,0,0,0,3,0,0,6,0,0,0%,29%,63%,Merah
41118,Universitas Mangku Wiyata,6,6,6,10,2,2,7,3,0,0,3,0,0,0,3,0,0,6,0,0,23%,23%,80%,Merah
